,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,legitimate
16451,0.9960001,-0.9960001,0.0,0.031,3.142127,1
16452,1.0,-1.0,-0.003,0.027,3.142933,1
16453,1.004,-1.004,0.006,-0.004,3.137664,1
16454,0.988,-0.988,-0.004,0.002,3.13956,1
16455,1.009,-1.009,-0.009000001,0.005,3.146519,1
16456,0.993,-0.993,-0.002,-0.013,3.144923,1
16457,0.9960001,-0.9960001,0.001,0.008,3.143552,1
16458,1.006,-1.006,0.005,-0.003,3.13849,1
16459,0.997,-0.997,-0.013,-0.011,3.143356,1
16460,1.007,-1.007,0.011,0.002,3.136618,1
16461,0.9910001,-0.9910001,-0.005,0.012,3.143638,1
16462,1.01,-1.01,0.004,0.033,3.141896,1
16463,0.992,-0.992,0.001,-0.008,3.141047,1
16464,1.009,-1.009,-0.011,0.008,3.145226,1
16465,0.994,-0.994,0.007,-0.006,3.141252,1
16466,0.998,-0.998,-0.002,0.022,3.143063,1
16467,1.016,-1.016,-0.006,0.009000001,3.144234,1
16468,0.983,-0.983,0.003,0.007,3.140711,1
16469,1.01,-1.01,-0.008,0.008,3.145626,1
16470,0.984,-0.984,-0.008,0.006,3.146732,1
16471,1.007,-1.007,0.007,0.024,3.137763,1
16472,0.994,-0.994,-0.004,0.016,3.140228,1
16473,1.002,-1.002,-0.004,-0.004,3.142895,1
16474,0.997,-0.997,0.004,-0.011,3.139763,1
16475,1.008,-1.008,-0.001,-0.002,3.140707,1
16476,0.997,-0.997,-0.001,0.004,3.142271,1
16477,1.006,-1.006,-0.006,-0.003,3.14432,1
16478,0.978,-0.978,0.015,-0.027,3.136672,1
16479,1.01,-1.01,-0.006,0.008,3.144482,1
16480,1.005,-1.005,-0.002,0.006,3.144235,1
16481,0.9900001,-0.9900001,-0.001,-0.019,3.143196,1
16482,0.993,-0.993,-0.011,-0.015,3.147133,1
16483,0.9950001,-0.9950001,0.022,-0.036,3.136934,1
16484,1.003,-1.003,-0.006,-0.012,3.144532,1
16485,0.987,-0.987,-0.008,-0.017,3.14599,1
16486,1.002,-1.002,0.001,-0.02,3.142673,1
16487,1.005,-1.005,-0.002,-0.008,3.143166,1
16488,0.9960001,-0.9960001,0.004,-0.018,3.141382,1
16489,0.9910001,-0.974,0.181,-0.005,3.006589,1
16490,0.994,-0.8240001,0.5560001,-0.01,2.85846,1
16491,0.983,-0.5470001,0.816,-0.041,2.525755,1
16492,0.9900001,-0.183,0.973,-0.035,1.963247,1
16493,1.003,-0.019,1.003,-0.024,1.893925,1
16494,0.992,0.011,0.992,-0.002,1.628221,1
16495,0.9960001,-0.001,0.9960001,-0.04,1.611059,1
16496,1.009,-0.009000001,1.009,-0.042,1.598285,1
16497,0.998,0.015,0.998,-0.005,1.565401,1
16498,1.005,0.013,1.005,0.011,1.563941,1
16499,0.988,-0.012,0.988,-0.002,1.577454,1
16500,1.007,0.0,1.007,-0.005,1.574207,1
16501,0.993,-0.007,0.993,0.009000001,1.575302,1
16502,1.01,0.001,1.01,0.016,1.570642,1
16503,1.002,-0.004,1.002,0.032,1.571546,1
16504,0.983,0.002,0.983,-0.009000001,1.570173,1
16505,1.003,-0.003,1.003,-0.024,1.572357,1
16506,1.006,0.018,1.006,-0.024,1.567972,1
16507,0.993,-0.008,0.993,0.014,1.576741,1
16508,1.002,0.003,1.002,0.005,1.574334,1
16509,1.0,0.002,1.0,-0.01,1.572035,1
16510,0.993,0.009000001,0.993,0.015,1.564381,1
16511,0.989,0.002,0.989,0.044,1.565347,1
16512,1.008,-0.014,1.008,0.013,1.579895,1
16513,0.997,0.003,0.997,0.025,1.575322,1
16514,0.988,0.007,0.988,0.003,1.571226,1
16515,1.004,-0.002,1.004,0.025,1.572259,1
16516,1.009,0.0,1.009,0.025,1.572002,1
16517,0.9990001,0.003,0.9990001,0.017,1.569202,1
16518,0.9910001,-0.003,0.9910001,0.005,1.571675,1
16519,1.003,0.003,1.003,0.003,1.570711,1
16520,1.009,-0.002,1.009,-0.006,1.572434,1
16521,0.9950001,0.002,0.9950001,-0.037,1.571721,1
16522,0.992,0.005,0.992,-0.039,1.568588,1
16523,1.003,-0.006,1.003,-0.025,1.574012,1
16524,1.008,0.001,1.008,-0.03,1.573103,1
16525,1.008,0.001,1.008,0.033,1.570838,1
16526,0.988,0.004,0.988,0.029,1.569649,1
16527,0.9950001,-0.006,0.9950001,-0.03,1.573161,1
16528,1.005,-0.001,1.005,-0.005,1.572277,1
16529,1.006,0.005,1.006,-0.005,1.570613,1
16530,0.9960001,0.003,0.9960001,-0.01,1.568432,1
16531,0.988,-0.004,0.988,-0.033,1.571246,1
16532,1.015,0.018,1.014,-0.046,1.564845,1
16533,1.002,-0.004,1.002,0.02,1.571957,1
16534,0.9900001,-0.004,0.9900001,-0.038,1.572904,1
16535,0.998,0.013,0.998,-0.047,1.563347,1
16536,1.008,-0.013,1.008,-0.03,1.576041,1
16537,0.9900001,-0.005,0.9900001,-0.038,1.575931,1
16538,1.011,0.007,1.011,-0.007,1.566616,1
16539,1.0,0.01,1.0,-0.011,1.564822,1
16540,0.9990001,-0.004,0.9990001,-0.056,1.569734,1
16541,1.006,-0.003,1.006,0.001,1.572674,1
16542,0.987,-0.02,0.987,-0.021,1.576496,1
16543,1.006,0.013,1.005,-0.01,1.562598,1
16544,0.988,0.011,0.988,-0.022,1.561439,1
16545,1.014,-0.005,1.014,-0.022,1.566885,1
16546,0.993,0.011,0.993,-0.014,1.561342,1
16547,1.004,-0.015,1.004,0.004,1.567196,1
16548,1.0,0.006,1.0,-0.015,1.56566,1
16549,1.006,0.003,1.006,-0.008,1.566625,1
16550,0.997,0.002,0.997,-0.039,1.567289,1
16551,0.9990001,-0.007,0.9990001,-0.006,1.575556,1
16552,0.998,0.003,0.998,-0.024,1.573604,1
16553,1.001,0.01,1.001,-0.029,1.566954,1
16554,1.007,-0.009000001,1.007,0.01,1.576006,1
16555,0.994,0.013,0.994,-0.021,1.571627,1
16556,0.9960001,-0.007,0.9960001,0.006,1.576626,1
16557,1.006,-0.002,1.006,-0.009000001,1.575529,1
16558,1.003,-0.005,1.003,-0.057,1.575456,1
16559,0.9950001,0.009000001,0.9950001,0.002,1.564743,1
16560,0.984,0.001,0.984,-0.014,1.565739,1
16561,1.011,0.0,1.011,-0.008,1.56947,1
16562,1.0,-0.007,1.0,-0.057,1.572734,1
16563,1.001,0.014,1.001,-0.07600001,1.566881,1
16564,0.9960001,0.004,0.9960001,-0.021,1.566887,1
16565,1.01,-0.006,1.01,-0.038,1.569527,1
16566,1.013,0.013,1.013,-0.027,1.562267,1
16567,0.993,-0.004,0.993,-0.026,1.569901,1
16568,0.9990001,0.006,0.9990001,-0.009000001,1.568472,1
16569,0.9990001,0.004,0.9990001,0.008,1.566957,1
16570,0.9960001,0.005,0.9960001,-0.001,1.566754,1
16571,1.003,0.001,1.003,-0.035,1.568468,1
16572,1.0,0.0,1.0,-0.025,1.570316,1
16573,0.988,-0.001,0.988,-0.015,1.57079,1
16574,1.012,-0.003,1.012,-0.02,1.57335,1
16575,1.004,-0.004,1.004,-0.014,1.573828,1
16576,0.993,0.012,0.993,0.022,1.567465,1
16577,1.005,-0.005,1.005,0.061,1.574135,1
16578,0.9910001,-0.001,0.9910001,0.104,1.573659,1
16579,0.997,-0.004,0.997,0.028,1.574471,1
16580,1.005,0.002,1.005,0.01,1.571562,1
16581,0.998,-0.01,0.998,0.003,1.574231,1
16582,1.002,0.009000001,1.002,0.014,1.56456,1
16583,1.002,-0.002,1.002,0.006,1.566486,1
16584,0.9990001,0.001,0.9990001,0.009000001,1.568153,1
16585,1.001,-0.006,1.001,0.018,1.573634,1
16586,0.993,-0.002,0.993,-0.009000001,1.57345,1
16587,1.009,0.01,1.009,-0.001,1.563069,1
16588,0.9910001,0.007,0.9910001,-0.002,1.563313,1
16589,1.009,-0.006,1.009,-0.045,1.569622,1
16590,1.0,-0.008,1.0,-0.022,1.576149,1
16591,1.001,-0.003,1.001,-0.015,1.575746,1
16592,1.004,0.002,1.004,0.012,1.5701,1
16593,0.9950001,0.21,0.973,-0.011,1.496561,1
16594,0.993,0.562,0.818,-0.005,1.315935,1
16595,0.9910001,0.8430001,0.521,-0.019,0.7192579,1
16596,0.9810001,0.965,0.172,0.0,0.5730479,1
16597,0.9990001,0.9990001,0.015,0.02,0.1963272,1
16598,1.005,1.005,-0.008,-0.009000001,0.08258915,1
16599,1.005,1.005,-0.013,0.061,0.05475167,1
16600,0.993,0.993,0.008,0.055,0.02043973,1
16601,0.9850001,0.9850001,-0.009000001,0.053,0.0117068,1
16602,1.004,1.004,-0.01,0.03,0.000190415,1
16603,0.9990001,0.9990001,0.005,0.031,0.003728896,1
16604,1.001,1.001,-0.007,0.024,0.000870745,1
16605,0.9990001,0.998,0.008,0.002,0.006325248,1
16606,1.002,1.002,-0.002,0.009000001,0.003734306,1
16607,1.005,1.005,-0.001,0.008,0.001672549,1
16608,0.9990001,0.9990001,-0.004,-0.019,6.280533,1
16609,1.002,1.002,-0.003,0.006,6.280509,1
16610,0.9990001,0.9990001,0.007,0.018,0.004161563,1
16611,0.9990001,0.9990001,-0.001,0.002,0.001522625,1
16612,1.012,1.012,-0.001,-0.003,0.000722217,1
16613,0.9960001,0.9960001,0.002,0.019,0.001419651,1
16614,0.9950001,0.9950001,0.002,0.013,0.001462237,1
16615,1.007,1.007,0.007,0.02,0.004827232,1
16616,0.9990001,0.9990001,-0.006,-0.01,6.281666,1
16617,1.008,1.008,0.0,-0.01,6.282019,1
16618,0.992,0.992,-0.003,0.001,6.280987,1
16619,1.001,1.001,0.009000001,0.003,0.001308124,1
16620,0.9960001,0.9960001,-0.002,0.004,6.282831,1
16621,1.01,1.01,-0.004,-0.001,6.280233,1
16622,0.9990001,0.9990001,-0.009000001,0.024,6.278742,1
16623,0.9910001,0.9910001,0.007,0.005,0.003363249,1
16624,1.004,1.004,0.001,0.006,0.002260899,1
16625,1.0,1.0,-0.008,-0.011,6.281436,1
16626,0.998,0.998,0.008,0.017,0.005465673,1
16627,1.003,1.003,-0.002,0.028,0.00334981,1
16628,0.998,0.998,-0.005,-0.009000001,6.281075,1
16629,1.004,1.004,0.003,-0.01,0.000436507,1
16630,1.009,1.009,0.011,-0.005,0.003797662,1
16631,0.997,0.997,-0.003,0.003,6.281662,1
16632,1.002,1.002,-0.011,0.008,6.278564,1
16633,1.002,1.002,0.0,0.004,6.28117,1
16634,0.9950001,0.9950001,0.009000001,0.004,0.005592035,1
16635,1.006,1.006,0.008,0.003,0.006119822,1
16636,0.9990001,0.9990001,-0.012,0.027,6.276292,1
16637,1.003,1.003,0.004,0.006,6.280356,1
16638,1.002,1.001,-0.006,-0.021,6.278903,1
16639,1.0,1.0,0.001,0.011,6.282545,1
16640,0.9860001,0.9860001,0.005,0.008,0.000656767,1
16641,1.011,1.011,-0.016,0.017,6.272014,1
